Condition,ICD10,ICD10QF,SMRType,FinancialYear,CA2011,CA2011QF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000028,,324.8,259.7,,:,353,,285,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000026,,156.8,137.3,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000005,,116.6,110.5,,:,56,,53,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000006,,122.5,106.4,,:,176,,152,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000045,,84.6,81.6,,:,88,,85,,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000039,,201.8,183.1,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000042,,301.2,270.1,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000036,,126.7,111.2,,:,576,,509,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000014,,60.1,58,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000015,,118.3,109.1,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000046,,246.8,224.3,,:,1292,,1180,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000017,,424.4,356.3,,:,876,,737,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000018,,369.7,330.5,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000044,,195.3,168.1,,:,,c,,c,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000029,,111.4,105.3,,:,325,,307,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000010,,84.9,73.6,,:,,c,,c,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000040,,78.6,75.6,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000019,,99.8,92.8,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000020,,149.9,144,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000013,,220.5,203.9,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000023,,362.6,339.4,,:,68,,63,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000024,,177.6,157,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000038,,200.8,179.2,,:,328,,293,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000011,,95.3,80.9,,:,,c,,c,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000027,,173.3,164.7,,:,40,,38,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2000/01,S12000030,,127.8,119.3,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000033,,299.4,257.6,,:,635,,553,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000034,,121.1,115.5,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000041,,156.6,148.2,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000035,,209.7,192.2,,:,188,,172,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000008,,374.8,332.1,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000021,,371.4,317.2,,:,,c,,c,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000028,,386.7,326.3,,:,,c,,c,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000026,,182.1,161.1,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000005,,213.4,170,,:,102,,80,,,:,1.3
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000006,,94.8,84.1,,:,138,,122,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000045,,70.5,65,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000039,,184.2,159.2,,:,161,,138,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000042,,287.2,259.3,,:,400,,362,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000036,,110.7,95.8,,:,511,,438,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000014,,80.7,77.4,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000015,,96.3,92.5,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000046,,245.2,221.3,,:,1272,,1154,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000017,,510.2,429.6,,:,1046,,878,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000018,,316.1,293.1,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000044,,181.2,163.5,,:,566,,512,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000029,,182.8,161.4,,:,519,,461,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000010,,59,52.1,,:,51,,45,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000040,,118.1,105.3,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000019,,88,85.6,,:,71,,69,,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000020,,233.3,222,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000013,,458,402,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000023,,370,331.5,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000024,,194.6,173.1,,:,251,,223,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000038,,188.7,168.7,,:,313,,279,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000011,,112.8,104.9,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000027,,117.6,109.3,,:,27,,25,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2001/02,S12000030,,192.7,180.5,,:,164,,154,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000033,,242.2,220,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000034,,122.9,112.6,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000041,,126.1,117.2,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000035,,216.5,201.2,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000008,,476.2,394.3,,:,,c,,c,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000021,,454.8,381.3,,:,599,,505,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000028,,458.6,388.6,,:,499,,422,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000026,,216.7,197,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000005,,214.6,183.1,,:,,c,,c,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000006,,96.9,89,,:,138,,126,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000045,,69.3,64.2,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000039,,258,216.2,,:,,c,,c,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000042,,258.4,230.7,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000036,,75.1,66.3,,:,332,,293,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000014,,65.9,63.8,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000015,,102.6,97.7,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000046,,196.9,178.4,,:,1031,,936,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000017,,435.1,378.2,,:,895,,775,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000018,,257.9,240.8,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000044,,182,164.2,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000029,,168.7,153.1,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000010,,44.6,43.6,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000040,,92.6,87.6,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000019,,50.6,49.6,,:,41,,40,,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000020,,225.9,206.2,,:,197,,179,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000013,,591.5,482.8,,:,151,,124,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000023,,354.6,315.8,,:,68,,60,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000024,,198.1,168.1,,:,258,,220,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000038,,248.9,208.3,,:,,c,,c,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000011,,67.5,63.9,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000027,,270.1,186.5,,:,62,,43,,,:,1.4
M&B - Acute Intoxication,F10.0,,Combined,2002/03,S12000030,,175.5,147.4,,:,147,,124,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000033,,200.9,182.9,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000034,,93.3,87.5,,:,208,,196,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000041,,98.9,91.8,,:,105,,97,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000035,,245.8,218.2,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000008,,380.5,328.9,,:,458,,397,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000021,,361.1,323.1,,:,478,,427,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000028,,506.3,408,,:,,c,,c,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000026,,169.9,159.8,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000005,,163.8,158,,:,82,,79,,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000006,,102.1,92.5,,:,148,,134,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000045,,40.1,36.9,,:,41,,38,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000039,,217.2,187.3,,:,190,,166,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000042,,231.9,213.3,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000036,,99.5,91.8,,:,440,,406,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000014,,87.3,83.3,,:,124,,118,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000015,,80.4,78.7,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000046,,155.9,144,,:,806,,750,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000017,,354.7,312.6,,:,740,,650,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000018,,333.5,304.9,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000044,,148.2,132.8,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000029,,123,114.1,,:,353,,328,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000010,,58,54.8,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000040,,114.3,105.5,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000019,,79,74.4,,:,62,,58,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000020,,130.4,125.7,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000013,,783.2,666.3,,:,202,,172,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000023,,331.7,277.3,,:,62,,52,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000024,,168.3,150.6,,:,224,,201,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000038,,187.9,170.2,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000011,,86,77.2,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000027,,242.1,209.3,,:,52,,45,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2003/04,S12000030,,190,169.1,,:,161,,143,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000033,,148.3,140.6,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000034,,70.9,66.5,,:,169,,159,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000041,,86,76.7,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000035,,185.1,172.5,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000008,,366.9,318.6,,:,,c,,c,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000021,,317.1,267.8,,:,421,,354,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000028,,501.6,412.4,,:,546,,446,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000026,,177.8,154.9,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000005,,141.3,133.6,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000006,,98.3,84.2,,:,,c,,c,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000045,,43.2,43.2,,:,45,,45,,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000039,,209,186.5,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000042,,216.8,201.4,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000036,,86.2,78.7,,:,380,,347,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000014,,93.9,89.4,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000015,,78.4,74.3,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000046,,167,153.2,,:,860,,792,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000017,,257.4,230.6,,:,545,,487,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000018,,366.3,324.2,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000044,,210.4,189,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000029,,93.5,88.4,,:,281,,265,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000010,,55.2,52.5,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000040,,96.2,90.5,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000019,,59.5,56.9,,:,47,,45,,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000020,,144.4,138.7,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000013,,438.4,374.3,,:,116,,99,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000023,,340.8,324.3,,:,66,,63,,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000024,,133.7,118.7,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000038,,212.7,196.6,,:,346,,319,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000011,,112.5,106.7,,:,91,,87,,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000027,,248.3,222.1,,:,56,,50,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2004/05,S12000030,,165.5,142.1,,:,138,,118,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000033,,146.6,136.3,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000034,,72.8,71.5,,:,171,,168,,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000041,,99,91.1,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000035,,210,185.5,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000008,,345.8,298.5,,:,403,,350,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000021,,277.8,248.7,,:,368,,329,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000028,,431.5,333.6,,:,,c,,c,,:,1.3
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000026,,202.1,177,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000005,,107.5,99.4,,:,52,,48,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000006,,83.8,78.6,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000045,,42.7,39.7,,:,43,,40,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000039,,163.3,145.7,,:,147,,131,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000042,,197.8,175.8,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000036,,67.9,61.5,,:,299,,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000014,,76.3,69.9,,:,112,,102,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000015,,94,88.6,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000046,,171,150.8,,:,892,,790,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000017,,235.3,211.6,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000018,,365.3,330.5,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000044,,183.9,163.4,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000029,,100.5,92.4,,:,295,,272,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000010,,39.9,39.9,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000040,,118.1,110.1,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000019,,51.3,51.3,,:,40,,40,,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000020,,134.3,130.6,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000013,,277.7,266,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000023,,291.1,244.3,,:,56,,47,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000024,,111.1,103.8,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000038,,179.2,159.7,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000011,,81.2,70.9,,:,70,,62,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000027,,272.7,232.3,,:,,c,,c,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2005/06,S12000030,,109.6,97.8,,:,91,,81,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000033,,152,138.9,,:,333,,307,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000034,,79.7,77.6,,:,190,,185,,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000041,,85.1,83.1,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000035,,217.9,196.2,,:,197,,177,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000008,,343.7,302.8,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000021,,285.8,255.4,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000028,,408.7,350.8,,:,445,,380,,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000026,,230.8,209.3,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000005,,138.9,127.6,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000006,,103.9,93.2,,:,154,,139,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000045,,58,56.3,,:,60,,58,,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000039,,156.9,146.7,,:,145,,135,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000042,,191.9,172,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000036,,83.2,73.9,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000014,,99.9,91.2,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000015,,104.4,92.9,,:,367,,328,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000046,,212.3,194.1,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000017,,171,155.3,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000018,,383.6,318.6,,:,,c,,c,,:,1.2
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000044,,175.2,156.2,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000029,,139.7,124.8,,:,410,,369,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000010,,53.6,53.6,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000040,,169.3,152.9,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000019,,67.5,64.9,,:,,c,,c,,:,1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000020,,118.5,110.2,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000013,,97.2,87.2,,:,,c,,c,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000023,,246,228.1,,:,49,,45,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000024,,129,114.1,,:,175,,154,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000038,,202.6,183.6,,:,332,,301,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000011,,94.9,80.3,,:,75,,66,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000027,,168.8,154.7,,:,40,,37,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2006/07,S12000030,,147.8,130,,:,130,,115,,,:,1.1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000033,,218.9,201.5,118.2,,,c,,c,,c,1.1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000034,,85,81.6,53.5,,,c,,c,,c,1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000041,,87.5,84.5,64.5,,,c,,c,72,,1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000035,,264.8,226.6,122.3,,241,,206,,113,,1.2
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000008,,331.4,278.2,158.8,,,c,,c,196,,1.2
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000021,,338.5,305.5,185.1,,,c,,c,251,,1.1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000028,,372.3,324.5,174.7,,402,,351,,188,,1.1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000026,,255.7,227.9,137.8,,,c,,c,,c,1.1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000005,,162.9,138.2,59.3,,,c,,c,,c,1.2
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000006,,115.9,105.4,65.2,,171,,156,,98,,1.1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000045,,56.9,55.9,40,,54,,53,,37,,1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000039,,158.8,135.3,66.1,,140,,120,,59,,1.2
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000042,,177.6,156.7,83.5,,,c,,c,,c,1.1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000036,,97.1,86.1,46.8,,439,,391,,,c,1.1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000014,,143.8,131.4,77.1,,,c,,c,,c,1.1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000015,,96.3,89.9,54.5,,,c,,c,,c,1.1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000046,,216.8,191.6,91.4,,1142,,1011,,500,,1.1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000017,,217.5,193.9,106.8,,,c,,c,,c,1.1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000018,,443.3,359.4,139.5,,360,,293,,115,,1.2
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000044,,236.8,203.8,106.2,,,c,,c,,c,1.2
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000029,,179.4,156.9,85.3,,,c,,c,,c,1.1
M&B - Acute Intoxication,F10.0,,Combined,2007/08,S12000010,,66.9,63.1,36.8,,,c,,c,,c,1.1
